state,year,Bodycam_Policy,total_kills
MI,2013,0.0,16
MI,2014,0.0,19
MI,2015,0.0,18
MI,2016,0.0,16
MI,2017,0.0,16
MI,2018,0.0,22
MI,2019,0.0,13
MI,2020,0.0,17
MI,2021,0.0,28
MI,2022,0.0,22
MI,2023,0.0,33
MI,2024,0.0,16
MN,2013,0.0,11
MN,2014,0.0,10
MN,2015,0.0,14
MN,2016,0.0,14
MN,2017,0.0,10
MN,2018,0.0,12
MN,2019,0.0,13
MN,2020,0.0,10
MN,2021,0.0,14
MN,2022,0.0,9
MN,2023,0.0,8
MN,2024,0.0,11
MO,2013,0.0,29
MO,2014,0.0,26
MO,2015,0.0,21
MO,2016,0.0,22
MO,2017,0.0,35
MO,2018,0.0,26
MO,2019,0.0,35
MO,2020,0.0,35
MO,2021,0.0,31
MO,2022,0.0,36
MO,2023,0.0,31
MO,2024,0.0,22
MS,2013,0.0,7
MS,2014,0.0,17
MS,2015,0.0,14
MS,2016,0.0,10
MS,2017,0.0,17
MS,2018,0.0,15
MS,2019,0.0,28
MS,2020,0.0,12
MS,2021,0.0,24
MS,2022,0.0,16
MS,2023,0.0,21
MS,2024,0.0,14
MT,2013,0.0,7
MT,2014,0.0,6
MT,2015,0.0,4
MT,2016,0.0,5
MT,2017,0.0,6
MT,2018,0.0,6
MT,2019,0.0,6
MT,2020,0.0,11
MT,2021,0.0,7
MT,2022,0.0,7
MT,2023,0.0,8
MT,2024,0.0,10
NC,2013,0.0,30
NC,2014,0.0,27
NC,2015,0.0,24
NC,2016,0.0,37
NC,2017,0.0,23
NC,2018,0.0,30
NC,2019,0.0,35
NC,2020,0.0,37
NC,2021,0.0,30
NC,2022,0.0,38
NC,2023,0.0,50
NC,2024,0.0,37
ND,2014,0.0,1
ND,2015,0.0,1
ND,2016,0.0,1
ND,2017,0.0,3
ND,2018,0.0,4
ND,2020,0.0,3
ND,2021,0.0,4
ND,2022,0.0,3
ND,2023,0.0,2
ND,2024,0.0,2
NE,2013,0.0,5
NE,2014,0.0,6
NE,2015,0.0,9
NE,2016,0.0,8
NE,2017,0.0,1
NE,2018,0.0,1
NE,2019,0.0,6
NE,2020,0.0,4
NE,2021,0.0,12
